bc_weight,neurons,loss_type,const_value,hetero_value,abs_diff,rel_diff
10,100,MSE,1.2031250662403181e-05,1.2095400052203331e-05,6.414938980014995e-08,0.005331896597310179
10,100,Relative L2,0.004299740772694349,0.004311188589781523,1.1447817087173462e-05,0.0026624435494369265
10,100,Sobolev,0.018388177481028833,0.019561759818770952,0.0011735823377421184,0.06382265664387274
10,100,Correlation Loss,0.09701037406921387,0.09657049179077148,0.0004398822784423828,0.0045343839012929295
10,500,MSE,8.206817483369377e-07,7.806971211721248e-07,3.998462716481299e-08,0.04872117422455795
10,500,Relative L2,0.0011229858500882983,0.001095287618227303,2.7698231860995293e-05,0.02466480929759945
10,500,Sobolev,0.0025422425010788174,0.00220451842395164,0.0003377240771271772,0.13284494962656662
10,500,Correlation Loss,0.00598752498626709,0.005543351173400879,0.00044417381286621094,0.07418320822222521
10,1000,MSE,7.613011803186964e-07,7.066037710501405e-07,5.469740926855593e-08,0.07184717275557846
10,1000,Relative L2,0.001081596128642559,0.001042017131112516,3.9578997530043125e-05,0.036593139014950996
10,1000,Sobolev,0.002369638970549204,0.0021130352793363727,0.0002566036912128311,0.10828809548362162
10,1000,Correlation Loss,0.005568504333496094,0.00515437126159668,0.00041413307189941406,0.07437061139270709
100,100,MSE,1.2666854672716e-05,1.2656545550271403e-05,1.0309122444596142e-08,0.0008138659436060096
100,100,Relative L2,0.004411855712532997,0.004410059656947851,1.7960555851459503e-06,0.000407097534861963
100,100,Sobolev,0.028165221648123406,0.02780969341392847,0.00035552823419493507,0.012622951760296205
100,100,Correlation Loss,0.10197329521179199,0.10199493169784546,2.1636486053466797e-05,0.00021217796294919198
100,500,MSE,6.584776315321506e-07,1.196772359435272e-06,5.382947279031214e-07,0.8174824544429258
100,500,Relative L2,0.0010059060296043754,0.001356102991849184,0.0003501969622448087,0.3481408318373446
100,500,Sobolev,0.00199633279581235,0.002902637712907108,0.0009063049170947579,0.4539848859578437
100,500,Correlation Loss,0.005061626434326172,0.009196281433105469,0.004134654998779297,0.8168629296549141
100,1000,MSE,6.340804361570918e-07,9.975519787985831e-07,3.634715426414914e-07,0.5732253333962019
100,1000,Relative L2,0.0009870952926576138,0.001238096971064806,0.00025100167840719223,0.2542831274953432
100,1000,Sobolev,0.00199526075212475,0.002406059351415024,0.00041079859929027407,0.2058871747198596
100,1000,Correlation Loss,0.004746794700622559,0.0076067447662353516,0.002859950065612793,0.6025013183391308
1000,100,MSE,1.3229538126324769e-05,1.322706611972535e-05,2.472006599418819e-09,0.00018685508057494628
1000,100,Relative L2,0.0045087821781635284,0.004508360754698515,4.2142346501350403e-07,9.346724864222354e-05
1000,100,Sobolev,0.030864427382311987,0.030849035109440592,1.5392272871395107e-05,0.0004987059270607923
1000,100,Correlation Loss,0.10687553882598877,0.1068543791770935,2.1159648895263672e-05,0.00019798402073571887
1000,500,MSE,8.562611583329272e-06,1.5933005670376588e-06,6.969311016291613e-06,0.8139234314840204
1000,500,Relative L2,0.003627354744821787,0.0015647168038412929,0.002062637940980494,0.5686341936521011
1000,500,Sobolev,0.044818614625455666,0.006854205296122018,0.03796440932933365,0.8470678901110857
1000,500,Correlation Loss,0.023008286952972412,0.006915748119354248,0.016092538833618164,0.6994235974981947
1000,1000,MSE,1.6770707134128315e-06,9.721904916659696e-07,7.048802217468619e-07,0.4203041623738526
1000,1000,Relative L2,0.0016053235158324242,0.0012222571531310678,0.0003830663627013564,0.23862253227138377
1000,1000,Sobolev,0.0075567824491145075,0.004967174903299565,0.0025896075458149426,0.34268652867937227
1000,1000,Correlation Loss,0.011617004871368408,0.007485151290893555,0.0041318535804748535,0.35567288004696124
