sampling_config,neurons,const_r2,hetero_r2,r2_diff,const_blob_r2,hetero_blob_r2,blob_r2_diff
adaptive_10_20_70_noRepl,100,0.5584309021025553,0.5792470309049047,0.0208161288023494,,0.1856643557548523,
adaptive_10_20_70_noRepl,500,0.978312991756851,0.98888674521434,0.0105737534574889,,0.7671538144350052,
adaptive_10_20_70_noRepl,1000,0.9797011588197084,0.9905261787519212,0.010825019932212743,,0.8028679192066193,
adaptive_10_20_70_noRepl,10000,0.9804798743029437,0.9923027200173123,0.011822845714368646,,0.8455516397953033,
adaptive_10_20_70_repl,100,0.5584309021025553,0.5792470309049047,0.0208161288023494,,0.1856643557548523,
adaptive_10_20_70_repl,500,0.978312991756851,0.98888674521434,0.0105737534574889,,0.7671538144350052,
adaptive_10_20_70_repl,1000,0.9797011588197084,0.9905261787519212,0.010825019932212743,,0.8028679192066193,
adaptive_10_20_70_repl,10000,0.9804798743029437,0.9923027200173123,0.011822845714368646,,0.8455516397953033,
adaptive_20_10_70_noRepl,100,0.5551194607993091,0.5819942591172863,0.026874798317977233,,0.24207419157028198,
adaptive_20_10_70_noRepl,500,0.9792125827656863,0.9909344824081348,0.011721899642448408,,0.760437086224556,
adaptive_20_10_70_noRepl,1000,0.9804720332338404,0.9921339200168962,0.011661886783055797,,0.802352249622345,
adaptive_20_10_70_noRepl,10000,0.9809540162234173,0.9933706472449502,0.012416631021532898,,0.8448583483695984,
adaptive_20_10_70_repl,100,0.5294516090705897,0.5523095394554176,0.022857930384827863,,0.16662156581878662,
adaptive_20_10_70_repl,500,0.9809960578718178,0.9922164497383965,0.01122039186657875,,0.7800837755203247,
adaptive_20_10_70_repl,1000,0.9818412376040041,0.99317642513739,0.011335187533385915,,0.8184032440185547,
adaptive_20_10_70_repl,10000,0.9824824485948205,0.9938513999011813,0.011368951306360842,,0.8465930074453354,
adaptive_5_25_70_noRepl,100,0.5614641440808382,0.5825114091105263,0.021047265029688123,,-0.055001139640808105,
adaptive_5_25_70_noRepl,500,0.9780156101849706,0.9883254484817131,0.01030983829674248,,0.7724720388650894,
adaptive_5_25_70_noRepl,1000,0.9793422427070723,0.9901204002852241,0.010778157578151815,,0.8035248816013336,
adaptive_5_25_70_noRepl,10000,0.9802358808684356,0.9920280500810317,0.011792169212596071,,0.8452064692974091,
adaptive_5_25_70_repl,100,0.5614641440808382,0.5825114091105263,0.021047265029688123,,-0.055001139640808105,
adaptive_5_25_70_repl,500,0.9780156101849706,0.9883254484817131,0.01030983829674248,,0.7724720388650894,
adaptive_5_25_70_repl,1000,0.9793422427070723,0.9901204002852241,0.010778157578151815,,0.8035248816013336,
adaptive_5_25_70_repl,10000,0.9802358808684356,0.9920280500810317,0.011792169212596071,,0.8452064692974091,
uniform,100,0.5080572879083534,0.5326801846749163,0.02462289676656293,,-0.7903947830200195,
uniform,500,0.9774744118986695,0.990695181293114,0.013220769394444498,,0.7806727588176727,
uniform,1000,0.978848004736556,0.9919129752319898,0.01306497049543387,,0.814276859164238,
uniform,10000,0.9801675020885449,0.9936133012891264,0.013445799200581532,,0.8602308481931686,
