alpha,beta,const_sobolev,const_l2,const_grad,hetero_sobolev,hetero_l2,hetero_grad,delta,abs_delta,rel_delta
0.0,1.0,0.006147446110844612,1.5838829767744755e-06,0.006147446110844612,0.0015765338903293014,5.979416073387256e-07,0.0015765338903293014,-0.004570912220515311,0.004570912220515311,0.7435465292991004
0.1,0.9,0.00605357891706717,1.5838829767744755e-06,0.006726022809743881,0.0013999278340406818,5.979416073387256e-07,0.0015554089331999421,-0.004653651083026488,0.004653651083026488,0.7687437705879184
0.2,0.8,0.004583191626034023,1.5838829767744755e-06,0.005728593561798334,0.0011033943919301237,5.979416073387256e-07,0.00137909350451082,-0.003479797234103899,0.003479797234103899,0.7592519617941053
0.30000000000000004,0.7,0.003382596796768666,1.5838829767744755e-06,0.004831602331250906,0.0010108255645945973,5.979416073387256e-07,0.0014437802601605654,-0.002371771232174069,0.002371771232174069,0.7011687688401439
0.4,0.6,0.0030069224280850904,1.5838829767744755e-06,0.005010481458157301,0.0008590093012571743,5.979416073387256e-07,0.0014312835410237312,-0.0021479131268279162,0.0021479131268279162,0.7143227593940483
0.5,0.5,0.0023327859497612735,1.5838829767744755e-06,0.0046639880165457726,0.0007976769283004614,5.979416073387256e-07,0.0015947559149935842,-0.001535109021460812,0.001535109021460812,0.658058241888781
0.6000000000000001,0.3999999999999999,0.0018587119959647676,1.5838829767744755e-06,0.004644404165446758,0.0004993961387754097,5.979416073387256e-07,0.0012475934345275164,-0.001359315857189358,0.001359315857189358,0.7313213985862729
0.7000000000000001,0.29999999999999993,0.0016098071606620574,1.5838829767744755e-06,0.005362328141927719,0.000524896836782318,5.979416073387256e-07,0.0017482609255239367,-0.0010849103238797396,0.0010849103238797396,0.6739380652025525
0.8,0.19999999999999996,0.000800464158055547,1.5838829767744755e-06,0.003995985258370638,0.00037435931426443847,5.979416073387256e-07,0.001869404804892838,-0.00042610484379110856,0.00042610484379110856,0.532322202025712
0.9,0.09999999999999998,0.00046361322818029284,1.5838829767744755e-06,0.004621877335011959,0.00016211950585329755,5.979416073387256e-07,0.0016158135840669274,-0.0003014937223269953,0.0003014937223269953,0.6503130267875694
1.0,0.0,1.5838829767744755e-06,1.5838829767744755e-06,0.004851650912314653,5.979416073387256e-07,5.979416073387256e-07,0.0020712497644126415,-9.8594136943575e-07,9.8594136943575e-07,0.6224833282571525
